word_x	word_y	sent_id_x	sent_id_y	mention_id_x	mention_id_y	word_id_x	word_id_y	class	doc_id	is_similar	num_word_x	num_word_y	num_char_x	num_char_y	num_upper_x	num_upper_y	num_lower_x	num_lower_y	has_punctuation_x	has_punctuation_y	has_numbers_x	has_numbers_y	jaccard_ngram	jaccard_upper	jaccard_lower	fuzz_ratio	fuzz_partial_ratio	fuzz_token_sort_ratio	fuzz_token_set_ratio	td_levenshtein_sim	td_hamming_sim	td_jaccard_sim	isStrMatch	isMatchNoCasePunc	isAbbrev	isMatchPartial	isSameSentence	sentenceDistance	wordDistance	mentionDistance
Kementerian BUMN	Badan Pengatur Jalan Tol	1	1	0	1	12	17	ORG	24mei-1	0	2	4	16	24	5	4	10	17	0	0	0	0	0.02564102564102564	0.125	0.22727272727272727	35	44	35	35	0.25	0.04166666666666663	0.25	0	1	0	0	1	0	5	1
Kementerian BUMN	BPJT	1	1	0	2	12	22	ORG	24mei-1	0	2	1	16	4	5	4	10	0	0	0	0	0	0.0	0.125	0.0	10	25	20	20	0.0625	0.0	0.05263157894736836	0	1	0	0	1	0	10	2
Kementerian BUMN	Kementerian Pekerjaan Umum dan Perumahan Rakyat	1	1	0	3	12	25	ORG	24mei-1	0	2	6	16	47	5	5	10	37	0	0	0	0	0.18867924528301888	0.25	0.175	41	75	41	81	0.276595744680851	0.25531914893617025	0.26	0	1	0	0	1	0	13	3
Kementerian BUMN	PT Jasa Marga ( Persero ) Tbk	1	2	0	4	12	57	ORG	24mei-1	0	2	7	16	29	5	6	10	15	0	1	0	0	0.0	0.1	0.13636363636363635	18	25	24	24	0.10344827586206895	0.03448275862068961	0.15384615384615385	0	0	0	0	0	1	45	4
Kementerian BUMN	PT Citra Marga Nusaphala Persada Tbk	1	2	0	5	12	83	ORG	24mei-1	0	2	6	16	36	5	7	10	24	0	0	0	0	0.0	0.2	0.1724137931034483	23	38	23	23	0.11111111111111116	0.05555555555555558	0.18181818181818188	0	1	0	0	0	1	71	5
Kementerian BUMN	BUMN	1	3	0	6	12	125	ORG	24mei-1	1	2	1	16	4	5	4	10	0	0	0	0	0	0.25	0.8	0.0	40	100	40	100	0.25	0.0	0.25	0	1	0	1	0	2	113	6
Kementerian BUMN	Jasa Marga	1	6	0	7	12	184	ORG	24mei-1	0	2	2	16	10	5	2	10	7	0	0	0	0	0.0	0.16666666666666666	0.13333333333333333	23	30	31	31	0.125	0.125	0.18181818181818188	0	1	0	0	0	5	172	7
Kementerian BUMN	BUMN	1	6	0	8	12	187	ORG	24mei-1	1	2	1	16	4	5	4	10	0	0	0	0	0	0.25	0.8	0.0	40	100	40	100	0.25	0.0	0.25	0	1	0	1	0	5	175	8
Kementerian BUMN	Badan Pengatur Jalan Tol	1	8	0	9	12	253	ORG	24mei-1	0	2	4	16	24	5	4	10	17	0	0	0	0	0.02564102564102564	0.125	0.22727272727272727	35	44	35	35	0.25	0.04166666666666663	0.25	0	1	0	0	0	7	241	9
Kementerian BUMN	Kementerian PUPR	1	8	0	10	12	258	ORG	24mei-1	0	2	2	16	16	5	5	10	10	0	0	0	0	0.45454545454545453	0.25	0.5384615384615384	81	81	69	81	0.8125	0.8125	0.6842105263157895	0	1	0	0	0	7	246	10
Kementerian BUMN	Badan Usaha Jalan Tol	1	8	0	11	12	269	ORG	24mei-1	0	2	4	16	21	5	4	10	14	0	0	0	0	0.027777777777777776	0.2857142857142857	0.09090909090909091	22	25	32	32	0.1428571428571429	0.09523809523809523	0.19354838709677424	0	1	0	0	0	7	257	11
Kementerian BUMN	Jasa Marga ( Persero ) Tbk	1	9	0	12	12	286	ORG	24mei-1	0	2	6	16	26	5	4	10	15	0	1	0	0	0.0	0.125	0.13636363636363635	19	25	26	26	0.11538461538461542	0.07692307692307687	0.16666666666666663	0	0	0	0	0	8	274	12
Kementerian BUMN	Citra Marga Nusaphala Persada	1	10	0	13	12	308	ORG	24mei-1	0	2	4	16	29	5	4	10	22	0	0	0	0	0.0	0.2857142857142857	0.18518518518518517	27	38	27	27	0.10344827586206895	0.03448275862068961	0.21621621621621623	0	1	0	0	0	9	296	13
Kementerian BUMN	BUJT	1	11	0	14	12	341	ORG	24mei-1	0	2	1	16	4	5	4	10	0	0	0	0	0	0.0	0.2857142857142857	0.0	20	50	30	30	0.125	0.0	0.11111111111111116	0	1	0	0	0	10	329	14
Kementerian BUMN	Jasa Marga	1	11	0	15	12	376	ORG	24mei-1	0	2	2	16	10	5	2	10	7	0	0	0	0	0.0	0.16666666666666666	0.13333333333333333	23	30	31	31	0.125	0.125	0.18181818181818188	0	1	0	0	0	10	364	15
Kementerian BUMN	Jasa Marga	1	11	0	16	12	382	ORG	24mei-1	0	2	2	16	10	5	2	10	7	0	0	0	0	0.0	0.16666666666666666	0.13333333333333333	23	30	31	31	0.125	0.125	0.18181818181818188	0	1	0	0	0	10	370	16
Kementerian BUMN	Jasa Marga	1	12	0	17	12	436	ORG	24mei-1	0	2	2	16	10	5	2	10	7	0	0	0	0	0.0	0.16666666666666666	0.13333333333333333	23	30	31	31	0.125	0.125	0.18181818181818188	0	1	0	0	0	11	424	17
Badan Pengatur Jalan Tol	BPJT	1	1	1	2	17	22	ORG	24mei-1	1	4	1	24	4	4	4	17	0	0	0	0	0	0.0	1.0	0.0	29	25	21	21	0.16666666666666663	0.04166666666666663	0.16666666666666663	0	1	1	0	1	0	5	1
Badan Pengatur Jalan Tol	Kementerian Pekerjaan Umum dan Perumahan Rakyat	1	1	1	3	17	25	ORG	24mei-1	0	4	6	24	47	4	5	17	37	0	0	0	0	0.05970149253731343	0.125	0.14893617021276595	34	50	42	42	0.25531914893617025	0.04255319148936165	0.3148148148148149	0	1	0	0	1	0	8	2
Badan Pengatur Jalan Tol	PT Jasa Marga ( Persero ) Tbk	1	2	1	4	17	57	ORG	24mei-1	0	4	7	24	29	4	6	17	15	0	1	0	0	0.0392156862745098	0.42857142857142855	0.18518518518518517	34	38	45	45	0.24137931034482762	0.03448275862068961	0.35897435897435903	0	0	0	0	0	1	40	3
Badan Pengatur Jalan Tol	PT Citra Marga Nusaphala Persada Tbk	1	2	1	5	17	83	ORG	24mei-1	0	4	6	24	36	4	7	17	24	0	0	0	0	0.05263157894736842	0.2222222222222222	0.24242424242424243	33	42	43	43	0.25	0.08333333333333337	0.39534883720930236	0	1	0	0	0	1	66	4
Badan Pengatur Jalan Tol	BUMN	1	3	1	6	17	125	ORG	24mei-1	0	4	1	24	4	4	4	17	0	0	0	0	0	0.0	0.14285714285714285	0.0	7	25	14	14	0.04166666666666663	0.04166666666666663	0.03703703703703698	0	1	0	0	0	2	108	5
Badan Pengatur Jalan Tol	Jasa Marga	1	6	1	7	17	184	ORG	24mei-1	0	4	2	24	10	4	2	17	7	0	0	0	0	0.0	0.2	0.14285714285714285	35	50	35	35	0.25	0.08333333333333337	0.3076923076923077	0	1	0	0	0	5	167	6
Badan Pengatur Jalan Tol	BUMN	1	6	1	8	17	187	ORG	24mei-1	0	4	1	24	4	4	4	17	0	0	0	0	0	0.0	0.14285714285714285	0.0	7	25	14	14	0.04166666666666663	0.04166666666666663	0.03703703703703698	0	1	0	0	0	5	170	7
Badan Pengatur Jalan Tol	Badan Pengatur Jalan Tol	1	8	1	9	17	253	ORG	24mei-1	1	4	4	24	24	4	4	17	17	0	0	0	0	0.92	1.0	0.4166666666666667	100	100	100	100	1.0	1.0	1.0	1	1	0	1	0	7	236	8
Badan Pengatur Jalan Tol	Kementerian PUPR	1	8	1	10	17	258	ORG	24mei-1	0	4	2	24	16	4	5	17	10	0	0	0	0	0.05263157894736842	0.125	0.22727272727272727	35	44	35	35	0.25	0.04166666666666663	0.25	0	1	0	0	0	7	241	9
Badan Pengatur Jalan Tol	Badan Usaha Jalan Tol	1	8	1	11	17	269	ORG	24mei-1	0	4	4	24	21	4	4	17	14	0	0	0	0	0.40625	0.6	0.19230769230769232	76	67	67	83	0.7083333333333333	0.29166666666666663	0.6071428571428571	0	1	0	0	0	7	252	10
Badan Pengatur Jalan Tol	Jasa Marga ( Persero ) Tbk	1	9	1	12	17	286	ORG	24mei-1	0	4	6	24	26	4	4	17	15	0	1	0	0	0.02040816326530612	0.6	0.18518518518518517	36	38	48	48	0.2692307692307693	0.11538461538461542	0.38888888888888884	0	0	0	0	0	8	269	11
Badan Pengatur Jalan Tol	Citra Marga Nusaphala Persada	1	10	1	13	17	308	ORG	24mei-1	0	4	4	24	29	4	4	17	22	0	0	0	0	0.06	0.14285714285714285	0.25806451612903225	34	38	38	38	0.24137931034482762	0.13793103448275867	0.43243243243243246	0	1	0	0	0	9	291	12
Badan Pengatur Jalan Tol	BUJT	1	11	1	14	17	341	ORG	24mei-1	0	4	1	24	4	4	4	17	0	0	0	0	0	0.0	0.6	0.0	21	25	21	21	0.125	0.04166666666666663	0.12	0	1	0	0	0	10	324	13
Badan Pengatur Jalan Tol	Jasa Marga	1	11	1	15	17	376	ORG	24mei-1	0	4	2	24	10	4	2	17	7	0	0	0	0	0.0	0.2	0.14285714285714285	35	50	35	35	0.25	0.08333333333333337	0.3076923076923077	0	1	0	0	0	10	359	14
Badan Pengatur Jalan Tol	Jasa Marga	1	11	1	16	17	382	ORG	24mei-1	0	4	2	24	10	4	2	17	7	0	0	0	0	0.0	0.2	0.14285714285714285	35	50	35	35	0.25	0.08333333333333337	0.3076923076923077	0	1	0	0	0	10	365	15
